file,variable,type,n_rows,n_missing
analysis_sheffield.csv,is_censored,numeric,6875,0
analysis_sheffield.csv,pre_match_matches_1,numeric,6875,3
analysis_sheffield.csv,pre_match_innings_1,numeric,6875,3
analysis_sheffield.csv,pre_match_runs_1,numeric,6875,3
analysis_sheffield.csv,pre_match_balls_1,numeric,6875,3
analysis_sheffield.csv,pre_match_dismissals_1,numeric,6875,3
analysis_sheffield.csv,pre_match_avg_1,numeric,6875,401
analysis_sheffield.csv,pre_match_sr_1,numeric,6875,367
analysis_sheffield.csv,is_debutant_1,numeric,6875,3
analysis_sheffield.csv,pre_match_matches_2,numeric,6875,6
analysis_sheffield.csv,pre_match_innings_2,numeric,6875,6
analysis_sheffield.csv,pre_match_runs_2,numeric,6875,6
analysis_sheffield.csv,pre_match_balls_2,numeric,6875,6
analysis_sheffield.csv,pre_match_dismissals_2,numeric,6875,6
analysis_sheffield.csv,pre_match_avg_2,numeric,6875,391
analysis_sheffield.csv,pre_match_sr_2,numeric,6875,338
analysis_sheffield.csv,is_debutant_2,numeric,6875,6
analysis_sheffield.csv,start_date,Date,6875,0
analysis_sheffield.csv,venue,character,6875,0
analysis_sheffield.csv,city,character,6875,0
analysis_sheffield.csv,team_1,character,6875,0
analysis_sheffield.csv,team_2,character,6875,0
analysis_sheffield.csv,toss_winner,character,6875,0
analysis_sheffield.csv,toss_decision,character,6875,0
analysis_sheffield.csv,winner,character,6875,0
analysis_sheffield.csv,event_name,character,6875,0
analysis_sheffield.csv,n_left,numeric,6875,0
analysis_sheffield.csv,n_right,numeric,6875,0
analysis_sheffield.csv,n_players,numeric,6875,0
analysis_sheffield.csv,prob_LR_squad,numeric,6875,0
analysis_sheffield.csv,match_innings_id,character,6875,0
analysis_sheffield.csv,avg_partnership_quality,numeric,6875,662
analysis_sheffield.csv,max_pre_match_avg,numeric,6875,130
analysis_sheffield.csv,min_pre_match_avg,numeric,6875,130
analysis_sheffield.csv,combined_experience,numeric,6875,0
analysis_sheffield.csv,avg_pre_match_sr,numeric,6875,581
analysis_sheffield.csv,year,numeric,6875,0
analysis_sheffield.csv,decade,numeric,6875,0
analysis_sheffield.csv,era,character,6875,0
analysis_sheffield.csv,max_bat_pos,numeric,6875,0
analysis_sheffield.csv,min_bat_pos,numeric,6875,0
analysis_sheffield.csv,position_group,character,6875,0
analysis_sheffield.csv,batter_1_team,character,6875,0
analysis_sheffield.csv,either_debutant,numeric,6875,0
analysis_sheffield.csv,short_partnership,numeric,6875,0
analysis_sheffield.csv,run_rate,numeric,6875,0
analysis_sheffield.csv,hand_known,numeric,6875,0
analysis_sheffield.csv,both_avg_known,numeric,6875,0
