"row_id","vt_surname","vt_name","name_raw","district","match_score","match_quality","census_id"
719,"POTGIETER","JACOBUS CHRISTOFFEL (KOOS GROOTVOET)","Potgieter, Jacobus Christoffel","Cradock",0.948,"Good",1836
906,"STEENKAMP","THOMAS IGNATIUS (JACOBUS)","Steenkamp, Thomas Ignatius","Cradock",0.992,"Good",1837
462,"JORDAAN","LOUIS HOSEA","Jordaan, Louis Hosea","Cradock",0.942,"Good",1847
457,"JORDAAN","DAVID BENJAMIN","Jordaan, David Benjamin","Cradock",0.996,"Good",1848
458,"JORDAAN","JACOB DANIEL","Jordaan, Jacob Daniel","Cradock",0.996,"Good",1850
460,"JORDAAN","JOHANNES JACOBUS","Jordaan, Johannes Jacobus","Cradock",0.974,"Good",1851
461,"JORDAAN","GERRIT JACOBUS","Jordaan, Gert Jacobus","Cradock",0.884,"Fair",1853
74,"BOTHA","FREDERIK JACOBUS","Botha, Fredrik Jacobus","Cradock",0.86,"Fair",1856
1031,"VAN DEVENTER","GERRIT","van Deventer, Gerrit","Cradock",0.96,"Good",1870
500,"KOEKEMOER","GERRIT JACOBUS","Koekemoer, Gerrit Jacobus","Cradock",0.99,"Good",1884
38,"BEUKES","JOHANNES ANDREAS","Beukes, Johannes Andreas","Cradock",0.986,"Good",1885
39,"BEUKES","JACOBUS CORNELIS","Beukes, Jacobus Cornelis","Cradock",0.942,"Good",1889
810,"ROBBERTSE","JOHANNES HENDRIK","Robbertse, Jan Hendrik","Cradock",0.826,"Fair",1915
665,"OLIVIER","OCKERT JOHANNES STEPHANUS","Olivier, Ockert Johannes Stephanus","Cradock",0.982,"Good",1951
91,"BOTHA","PIETER JOHANNES","Botha, Pieter Johannes","Cradock",0.914,"Good",1954
1121,"VAN TONDER","ADRIAAN JACOBUS","van Tonder, Adriaan","Cradock",0.868,"Fair",1961
1063,"VAN NIEKERK","CHRISTIAAN","van Niekerk, Christiaan","Cradock",0.96,"Good",1967
620,"MULLER","JOHANNES CHRISTIAAN","Muller, Johannes Christiaan","Cradock",0.974,"Good",1993
482,"KLOPPER","HENDRIK COENRAAD ( DE OUDE)","Klopper, Hendrik Coenraad","Cradock",0.928,"Good",1997
168,"COETZER","HENDRIK","Coetzer, Hendrik","Cradock",0.968,"Good",2005
90,"BOTHA","THEUNIS GERHARDUS","Botha, Theunis Gerhardus","Cradock",0.902,"Good",2006
167,"COETZER","PHILLIPPUS JEREMIAS SR","Coetzer, Philippus Jeremias","Cradock",0.932,"Good",2007
882,"SMIT","BURGERT GODLIEB","Smit, Burgert Godlieb","Cradock",0.946,"Good",2015
862,"SCHOEMAN","CAROLUS GUSTAAF","Schoeman, Carolus Gustaph","Cradock",0.868,"Fair",2029
872,"SMIT","JOHANNES PETRUS","Smit, Johannes Petrus","Cradock",0.856,"Fair",2044
885,"SMIT","ANDRIES ADRIAAN","Smit, Andries Adriaan","Cradock",0.898,"Fair",2125
